,video_name,question,answer
0,okC18bPTils,все люди в видео мужчины,нет
1,AAQp3iEJxJc,все люди в видео женщины,нет
2,whcxrkF2hws,"спортсмен №3, играющий в помещении",нет
3,LrputIUn4oY,спортсмен в брюках,нет
4,Mzt-E6pxuUI,ребенок в помещении,да
5,syAccI5soVw,ребенок в помещении,да
6,SMUWOVJ3bzE,ребенок в помещении,да
7,yvTmIulkl7c,ребенок в помещении,да
8,Mzt-E6pxuUI,ребенок на улице,нет
9,syAccI5soVw,ребенок на улице,нет
10,SMUWOVJ3bzE,ребенок на улице,нет
11,yvTmIulkl7c,ребенок на улице,нет
12,96kej9yK8To,у девушки в черной одежде длинные волосы,нет
13,OZftVCeblMk,мужчина в брюках,нет
14,XqW8wjFpGRU,люди на видео танцуют в помещении,нет
15,li16LYa7us8,люди на видео танцуют в помещении,да
16,FL9yhHtoc6c,люди на видео танцуют в помещении,нет
17,JxEnKQ7iXUI,люди на видео танцуют в помещении,нет
18,1P_BTFhNZFo,люди на видео танцуют в помещении,да
19,XqW8wjFpGRU,люди в видео танцуют на улице,да
20,JxEnKQ7iXUI,люди в видео танцуют на улице,да
21,DPsa28MmdoI,люди на видео дрейфуют в помещении,нет
22,DPsa28MmdoI,люди на видео дрейфуют на улице,да
23,WVM8itzRVjs,человек в черном человек,да
24,Xfu6WQuFEks,человек в черном человек,да
25,WVxP7f_OyEs,человек в черном человек,да
26,jCd-VeMUwRg,человек в черном человек,нет
27,J7GJKAoU0rE,человек в черном человек,да
28,lx83HHNNrlc,человек в черном человек,да
29,HEuC9ZEY91E,человек в черном человек,да
30,a7oaRcmRZ5k,человек в черном человек,да
31,x--RoqrwiLI,человек в черных штанах мальчик или девочка,мужской
32,XQWebGbAjxU,человек в черных штанах мальчик или девочка,мальчик
33,xOGOd2UJaMY,человек в черных штанах мальчик или девочка,мужской
34,MO8Dfz2Lp3w,парень в синих шортах в помещении,нет
35,KNpeiKm3xyM,парень в синих шортах в помещении,нет
36,-s1MQAiOMeY,люди на видео в помещении,нет
37,hZD-CjWt0Rg,люди на видео в помещении,да
38,yPEf9ajKwI8,люди на видео в помещении,да
39,67NwPB79MTo,люди на видео в помещении,да
40,Yyv8oxrFGV0,люди на видео в помещении,нет
41,-s1MQAiOMeY,люди на видео на улице,да
42,yPEf9ajKwI8,люди на видео на улице,нет
43,Yyv8oxrFGV0,люди на видео на улице,да
44,hZD-CjWt0Rg,люди на видео на улице,нет
45,67NwPB79MTo,люди на видео на улице,нет
46,qU_605hliNw,люди в видео ныряют в помещении,нет
47,P6t2HLPZ3Dk,человек в белом мужчина,да
48,J7Q3b1uFHyc,человек в белом мужчина,да
49,nxNJNn8blDw,человек в белом мужчина,да
50,80spFFIdnC4,человек в желтой одежде мужчина,да
51,RpItv2ztook,человек в желтом на улице,да
52,rgrzN8ELIxI,человек впервые появляется в видео на открытом воздухе,да
53,AsTfp_4Um1A,человек впервые появляется в видео на открытом воздухе,нет
